"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"1","Абаза","Хакасия","Сибирский","12272","1867","1966","Абаканский Завод, Абаканско-Заводское","52.6510546","90.101159"
"2","Абакан","Хакасия","Сибирский","184769","1734","1931","Усть-Абаканское (до 1931)","53.72068","91.4406019"
"3","Абдулино","Оренбургская область","Приволжский","17274","1795","1923","","53.6828","53.655701"
"4","Абинск","Краснодарский край","Южный","39511","1863","1963","Абинское (до 1863); Абинская (до 1962)","44.8649528","38.1578189"
"5","Агидель","Башкортостан","Приволжский","14219","1980","1991","","55.899276","53.9374202"
"6","Агрыз","Татарстан","Приволжский","19991","1646","1938","","56.525516","52.9971643"
"7","Адыгейск","Адыгея","Южный","13175","1969","1976","Адыгейский (до 1976); Теучежск (до 1990)","44.8833775","39.1909625"
"8","Азнакаево","Татарстан","Приволжский","34750","1762","1987","","54.8629555","53.0792275"
"9","Азов","Ростовская область","Южный","81924","1067","1708","Азак, Тана","47.1139219","39.4259657"
"10","Ак-Довурак","Тыва","Сибирский","12456","1964","1964","","51.173087","90.5934434"
"11","Аксай","Ростовская область","Южный","48372","1570","1957","Аксайская","47.268696","39.861362"
"12","Алагир","Северная Осетия","Северо-Кавказский","21550","1850","1938","","43.039841","44.220451"
"13","Алапаевск","Свердловская область","Уральский","36189","1639","1781","","57.850811","61.695"
"14","Алатырь","Чувашия","Приволжский","32265","1552","1552","","54.8419041","46.5878356"
"15","Алдан","Якутия","Дальневосточный","21590","1924","1932","Незаметный (до 1939)","58.608414","125.388222"
"16","Алейск","Алтайский край","Сибирский","25380","1913","1939","","52.4986842","82.7752065"
"17","Александров","Владимирская область","Центральный","57053","XIV век","1778","Александрова слобода","56.3962287","38.7111103"
"18","Александровск","Пермский край","Приволжский","10780","1783","1951","","59.1593861","57.5861232"
"19","Александровск-Сахалинский","Сахалинская область","Дальневосточный","8854","1869","1917","Александровский пост (до 1926)","50.8974983","142.1591667"
"20","Алексеевка","Белгородская область","Центральный","36578","1685","1954","","50.6299364","38.6867154"
"21","Алексин","Тульская область","Центральный","60842","1348","1777","","54.5028103","37.0667213"
"22","Алзамай","Иркутская область","Сибирский","5373","1899","1955","","55.554956","98.6654191"
"23","Алупка","Крым","Южный","9063","960","1938","Алубика, Лупико","44.4204046","34.0483715"
"24","Алушта","Крым","Южный","31364","VI век","1902","Луста, Алустон","44.6789134","34.4109856"
"25","Альметьевск","Татарстан","Приволжский","163512","XVIII век","1953","Альметьево (до 1952)","54.9005008","52.2963777"
"26","Амурск","Хабаровский край","Дальневосточный","38606","1958","1973","Падали-Восточное","50.2265588","136.9100919"
"27","Анадырь","Чукотский АО","Дальневосточный","13202","1889","1965","Новомариинск (до 1923)","64.7316875","177.5060925"
"28","Анапа","Краснодарский край","Южный","81863","1781","1846","","44.894272","37.316887"
"29","Ангарск","Иркутская область","Сибирский","221296","1948","1951","Майск","52.5443167","103.8882138"
"30","Андреаполь","Тверская область","Центральный","6956","1907","1967","Андреяполь","56.646801","32.26532"
"31","Анжеро-Судженск","Кемеровская область","Сибирский","66583","1896","1931","","56.077808","86.019356"
"32","Анива","Сахалинская область","Дальневосточный","9638","1886","1946","Лютога (до 1905); Рутака (до 1946)","46.7147768","142.527515"
"33","Апатиты","Мурманская область","Северо-Западный","49647","1926","1966","Белый (до 1926)","67.568626","33.404392"
"34","Апрелевка","Московская область","Центральный","35514","1899","1961","","55.5454306","37.0730417"
"35","Апшеронск","Краснодарский край","Южный","40289","1863","1947","","44.4618046","39.741048"
"36","Арамиль","Свердловская область","Уральский","19013","1675","1966","","56.6962917","60.8330976"
"37","Аргун","Чечня","Северо-Кавказский","41622","XVIII век","1967","Устар-Гардой (до 1944); Колхозное (до 1962)","43.2950455","45.8688918"
"38","Ардатов","Мордовия","Приволжский","8857","1671","1780","Новотроицкое, Ардатово","54.84503","46.23863"
"39","Ардон","Северная Осетия","Северо-Кавказский","18956","1824","1964","","43.1758059","44.3055486"
"40","Арзамас","Нижегородская область","Приволжский","104908","1552","1578","","55.3857356","43.8165228"
"41","Аркадак","Саратовская область","Приволжский","10990","1721","1963","","51.942913","43.489098"
"42","Армавир","Краснодарский край","Южный","187177","1839","1914","Армянский аул (до 1848); Армавирский аул (1876)","44.9993585","41.1294061"
"43","Армянск","Крым","Южный","20692","1736","1993","Армянский Базар (до 1921)","46.113261","33.6904091"
"44","Арсеньев","Приморский край","Дальневосточный","47937","1902","1952","Семёновка (до 1952)","44.1644451","133.2704255"
"45","Арск","Татарстан","Приволжский","20421","XIII век","2008","","56.0909916","49.8771828"
"46","Артём","Приморский край","Дальневосточный","109556","1924","1938","Зыбунный","43.3529909","132.1800977"
"47","Артёмовск","Красноярский край","Сибирский","1510","1700","1939","Ольховский (до 1939)","54.349564","93.437813"
"48","Артёмовский","Свердловская область","Уральский","28943","1665","1938","Егоршинские копи","57.3431854","61.8775035"
"49","Архангельск","Архангельская область","Северо-Западный","301199","1584","1613","Новохолмогоры (до 1613)","64.543022","40.537121"
"50","Асбест","Свердловская область","Уральский","57317","1889","1933","Куделька (до 1928)","57.0052746","61.4580765"
"51","Асино","Томская область","Сибирский","24913","1896","1952","Ксеньевка (до 1933)","56.999187","86.14167"
"52","Астрахань","Астраханская область","Южный","475629","1558","1717","Хаджи-Тархан, Аштархан","46.3498308","48.0326203"
"53","Аткарск","Саратовская область","Приволжский","22709","XVIII век","1780","","51.8750207","44.997499"
"54","Ахтубинск","Астраханская область","Южный","35635","1768","1959","Владимировка (до 1959)","48.2848132","46.1643706"
"55","Ачинск","Красноярский край","Сибирский","100621","1683","1782","","56.2694846","90.4953964"
"56","Ачхой-Мартан","Чечня","Северо-Кавказский","30739","1846","2023","Новосельское (1944—1957)","43.1926252","45.2879291"
"57","Аша","Челябинская область","Уральский","27890","1898","1933","Аша-Балашовский завод","54.9908896","57.2780531"
"58","Бабаево","Вологодская область","Северо-Западный","11739","XV век","1925","","59.3887129","35.9499951"
"59","Бабушкин","Бурятия","Сибирский","4368","1760","1902","Мысовский (до 1892); Мысовая (до 1902); Мысовск (до 1941)","51.7161749","105.8635328"
"60","Бавлы","Татарстан","Приволжский","21628","1658","1997","Мансурово, Бавлы-Мансурово","54.4031069","53.2356367"
"61","Багратионовск","Калининградская область","Северо-Западный","6417","1336","1946","Прейсиш-Эйлау (до 1946)","54.3868191","20.6405124"
"62","Байкальск","Иркутская область","Сибирский","13199","1961","1966","","51.5171917","104.1410261"
"63","Баймак","Башкортостан","Приволжский","17833","1850","1938","Таналыково, Баймак-Таналыково","52.597919","58.30756"
"64","Бакал","Челябинская область","Уральский","16345","1757","1951","","54.936657","58.810249"
"65","Баксан","Кабардино-Балкария","Северо-Кавказский","39593","1891","1967","Кучмазукино (до 1920); Старая Крепость (до 1960)","43.6820626","43.5344319"
"66","Балабаново","Калужская область","Центральный","29029","1584","1972","","55.1783579","36.6575564"
"67","Балаково","Саратовская область","Приволжский","184466","1762","1911","","52.01812","47.819141"
"68","Балахна","Нижегородская область","Приволжский","48569","1474","1536","","56.4870505","43.6039553"
"69","Балашиха","Московская область","Центральный","520962","1830","1939","","55.7997662","37.9373707"
"70","Балашов","Саратовская область","Приволжский","74057","XVII век","1780","","51.5546717","43.1430732"
"71","Балей","Забайкальский край","Сибирский","10286","1736","1932","Новотроицкий промысел (до 1932)","51.578789","116.646042"
"72","Балтийск","Калининградская область","Северо-Западный","26796","1626","1725","Пиллау (до 1946)","54.6437214","19.8941584"
"73","Барабинск","Новосибирская область","Сибирский","27648","1893","1917","","55.3567611","78.350348"
"74","Барнаул","Алтайский край","Сибирский","630877","1730","1771","","53.3475493","83.7788448"
"75","Барыш","Ульяновская область","Приволжский","14924","XVII век","1954","","53.6540758","47.1013737"
"76","Батайск","Ростовская область","Южный","126988","1769","1938","Батайское, Батайская","47.138527","39.742348"
"77","Бахчисарай","Крым","Южный","28609","1532","1532","","44.7522963","33.8534782"
"78","Бежецк","Тверская область","Центральный","21466","1137","1775","Городецк (до 1766)","57.781357","36.692535"
"79","Белая Калитва","Ростовская область","Южный","40448","1703","1958","Усть-Белокалитвенская","48.1751778","40.7902124"
"80","Белая Холуница","Кировская область","Приволжский","9659","1764","1965","Белохолуницкий (до 1965)","58.8432546","50.8528865"
"81","Белгород","Белгородская область","Центральный","339978","1596","1596","","50.5955595","36.5873394"
"82","Белебей","Башкортостан","Приволжский","59195","1757","1781","","54.106495","54.107811"
"83","Белёв","Тульская область","Центральный","12846","1147","1147","","53.811798","36.137001"
"84","Белинский","Пензенская область","Приволжский","8656","1708","1780","Чембар (до 1948)","52.9669338","43.4130625"
"85","Белово","Кемеровская область","Сибирский","68542","1726","1938","","54.419323","86.303429"
"86","Белогорск","Амурская область","Дальневосточный","61440","1860","1926","Александровское (до 1926); Александровск (до 1931); Краснопартизанск (до 1936); Куйбышевка-Восточная (до 1957)","50.921326","128.47287"
"87","Белогорск","Крым","Южный","17445","XIII век","XIII век","Карасубазар (до 1944)","45.0584385","34.594959"
